Rank,Player Name,Age,Country,Points,Change
265,Chris Rodesch,23,LUX,203,-2
266,Zsombor Piros,25,HUN,201,
267,Abdullah Shelbayh,21,JOR,201,
268,Robin Bertrand,21,FRA,201,+6
269,Lorenzo Giustino,33,ITA,200,
270,Gonzalo Bueno,20,PER,198,+1
271,Marat Sharipov,22,RUS,197,-1
272,Juan Bautista Torres,22,ARG,197,
273,Pedro Cachín,29,ARG,196,+11
274,Jay Clarke,26,GBR,196,-1
275,Karue Sell,31,BRA,195,-7
276,Álvaro Guillén Meza,22,ECU,195,-15
277,Michael Mmoh,27,USA,194,-1
278,Matej Dodig,19,CRO,194,-14
279,Fajing Sun,28,CHN,192,
280,Rudolf Molleker,24,GER,191,+1
281,Stefano Travaglia,33,ITA,190,-40
282,Aidan Mayo,21,USA,188,-7
283,Mateus Alves,24,BRA,187,
284,Johannus Monday,23,GBR,186,+16
285,Ilia Simakin,21,RUS,185,+23
286,Maxime Janvier,28,FRA,184,+5
287,Manuel Guinard,29,FRA,184,-1
288,Remy Bertola,26,SUI,184,-1
289,Dominic Stricker,22,SUI,183,
290,Arthur Géa,20,FRA,183,
291,Jie Cui,27,CHN,181,-9
292,Facundo Bagnis,34,ARG,180,
293,Leandro Riedi,23,SUI,180,-62
294,Juan Carlos Prado Angelo,19,BOL,180,
295,Daniel Masur,30,GER,179,-2
296,Enrico Dalla Valle,26,ITA,178,
297,Mili Poljičak,20,CRO,177,+1
298,Nicolai Budkov Kjaer,18,NOR,176,+141
299,Martin Kližan,35,SVK,176,+2
300,Ričardas Berankis,34,LTU,175,-5
301,Ergi Kırkın,26,TUR,175,-2
302,Michael Geerts,30,BEL,174,+9
303,Max Houkes,24,NED,173,+11
304,Mathys Erhard,23,FRA,173,-2
305,Blake Ellis,26,AUS,173,-2
306,Charles Broom,26,GBR,172,-2
307,Samuel Vincent Ruggeri,22,ITA,171,-2
308,Oleksandr Ovcharenko,23,UKR,170,-11
309,Santiago Taverna,25,ARG,170,-2
310,Mika Brunold,20,SUI,169,
311,Bernabé Zapata Miralles,28,ESP,166,+12
312,Joel Schwärzler,19,AUT,166,+1
313,Patrick Zahraj,25,GER,166,+132
314,Ivan Gakhov,28,RUS,166,+1
315,Joris De Loore,31,BEL,164,+1
316,Gianluca Mager,30,ITA,164,+1
317,Oleg Prihodko,27,UKR,164,-8
318,Jacopo Berrettini,26,ITA,164,
319,Alexey Vatutin,32,RUS,164,+10
320,Daniel Dutra da Silva,36,BRA,163,-1
321,Christoph Negritu,30,GER,162,+4
322,Nicolás Álvarez Varona,23,ESP,162,-2
323,Daniel Mérida,20,ESP,162,-38
324,Corentin Denolly,27,FRA,162,-3
325,Benjamin Lock,31,ZIM,161,-3
326,Philip Henning,24,RSA,160,+5
327,Philip Sekulic,21,AUS,160,-3
328,Maxime Cressy,27,USA,159,-16
329,Maxime Chazal,31,FRA,158,-1
330,Genaro Alberto Olivieri,26,ARG,158,-24
331,Sandro Kopp,24,AUT,157,+26
332,Cezar Crețu,23,ROU,157,-6
333,Kimmer Coppejans,31,BEL,156,+1
334,Masamichi Imamura,26,JPN,155,+10
335,Jelle Sels,29,NED,154,-8
336,Christian Langmo,28,USA,154,+40
337,Guy Den Ouden,22,NED,153,+4
338,Eliakim Coulibaly,22,CIV,153,+4
339,Daniel Michalski,25,POL,152,-7
340,Mats Rosenkranz,26,GER,151,+25
341,Pedro Sakamoto,31,BRA,151,-3
342,Clément Tabur,25,FRA,150,-9
343,Jakub Paul,25,SUI,150,-4
344,Diego Schwartzman,32,ARG,149,-4
345,Alex Martí Pujolras,26,ESP,149,-15
346,Nikolás Sánchez Izquierdo,25,ESP,146,+6
347,Yosuke Watanuki,26,JPN,144,-11
348,Justin Engel,17,GER,144,+6
349,Jiří Veselý,31,CZE,144,+6
350,Adria Soriano Barrera,25,COL,144,-4
351,Patrick Kypson,25,USA,143,-3
352,Lautaro Midon,20,ARG,143,-2
353,Andrea Picchione,26,ITA,143,-2
354,Toby Kodat,22,USA,143,-7
355,Jack Pinnington Jones,21,GBR,142,-2
356,Rodrigo Pacheco Mendez,19,MEX,142,
357,Naoki Nakagawa,28,JPN,141,+17
358,Matheus Pucinelli De Almeida,23,BRA,141,-21
359,Denis Kudla,32,USA,140,
360,Stefan Kozlov,27,USA,140,
361,Giulio Zeppieri,23,ITA,138,-26
362,Dimitar Kuzmanov,31,BUL,138,-17
363,Kris Van Wyk,28,RSA,138,-1
364,Luka Pavlovic,24,FRA,137,-1
365,Renzo Olivo,32,ARG,137,+7
366,Marc Polmans,27,AUS,136,-17
367,Kaichi Uchida,30,JPN,136,-6
368,Gastão Elias,34,POR,136,+10
369,Nicholas David Ionel,22,ROU,136,-3
370,Soonwoo Kwon,27,KOR,135,-3
371,Dennis Novak,31,AUT,135,-13
372,Rei Sakamoto,18,JPN,134,-8
373,Giles Hussey,27,GBR,134,+10
374,Franco Roncadelli,25,URU,134,-3
375,Yi Zhou,19,CHN,133,-2
376,Gabi Adrian Boitan,25,ROU,133,-8
377,Jakub Nicod,20,CZE,132,-2
378,Luciano Emanuel Ambrogi,21,ARG,131,+25
379,Milos Raonic,34,CAN,130,-2
380,Michael Vrbenský,25,CZE,129,-1
381,Alexey Zakharov,24,RUS,128,-38
382,Andre Ilagan,24,USA,128,-2
383,Matthew Dellavedova,24,AUS,127,-2
384,Pablo Llamas Ruiz,22,ESP,126,-2
385,Zdeněk Kolář,28,CZE,126,-1
386,Evgeny Karlovskiy,30,RUS,126,+25
387,Luka Mikrut,20,CRO,126,-2
