Rank,Player Name,Age,Country,Points,Change
258,Andrea Pellegrino,27,ITA,210,-3.0
259,Emilio Nava,23,USA,209,-21.0
260,Valentin Vacherot,26,MON,208,2.0
261,Chris Rodesch,23,LUX,207,3.0
262,Gonzalo Bueno,20,PER,204,8.0
263,Carlos Sánchez Jover,24,ESP,203,2.0
264,Clément Chidekh,23,FRA,203,-24.0
265,Lorenzo Giustino,33,ITA,203,4.0
266,Abdullah Shelbayh,21,JOR,201,1.0
267,Robin Bertrand,21,FRA,201,1.0
268,Mattéo Martineau,26,FRA,199,-5.0
269,Marat Sharipov,22,RUS,197,2.0
270,Juan Bautista Torres,22,ARG,197,2.0
271,Karue Sell,31,BRA,195,3.0
272,Zsombor Piros,25,HUN,193,-6.0
273,Fajing Sun,28,CHN,192,2.0
274,Stefano Travaglia,33,ITA,190,3.0
275,Francesco Maestrelli,22,ITA,189,-15.0
276,Ilia Simakin,21,RUS,188,2.0
277,Aidan Mayo,21,USA,188,2.0
278,Mathys Erhard,23,FRA,187,7.0
279,Remy Bertola,26,SUI,187,2.0
280,Pedro Cachín,29,ARG,186,-7.0
281,Michael Mmoh,27,USA,186,17.0
282,Johannus Monday,23,GBR,186,
283,Maxime Janvier,28,FRA,184,
284,Dominic Stricker,22,SUI,184,
285,Geoffrey Blancaneaux,26,FRA,184,12.0
286,Max Houkes,24,NED,182,22.0
287,Mateus Alves,24,BRA,181,-7.0
288,Leandro Riedi,23,SUI,180,
289,Matej Dodig,19,CRO,179,3.0
290,Mili Poljičak,20,CRO,179,3.0
291,Martin Kližan,35,SVK,177,5.0
292,Guy Den Ouden,22,NED,177,25.0
293,Jay Clarke,26,GBR,177,1.0
294,Blake Ellis,26,AUS,177,1.0
295,Ričardas Berankis,34,LTU,175,-4.0
296,Yosuke Watanuki,26,JPN,174,53.0
297,Manuel Guinard,29,FRA,174,-8.0
298,Juan Carlos Prado Angelo,19,BOL,174,-8.0
299,Michael Geerts,30,BEL,174,2.0
300,Nicolás Álvarez Varona,23,ESP,173,3.0
301,Arthur Géa,20,FRA,173,-15.0
302,Nicolai Budkov Kjaer,18,NOR,172,-3.0
303,Oleksandr Ovcharenko,23,UKR,170,3.0
304,Joel Schwärzler,19,AUT,170,3.0
305,Santiago Taverna,25,ARG,170,-1.0
306,Lautaro Midon,20,ARG,169,48.0
307,Charles Broom,26,GBR,169,-2.0
308,Jie Cui,27,CHN,168,-21.0
309,Enrico Dalla Valle,26,ITA,168,
310,Jacopo Berrettini,26,ITA,167,
311,Mika Brunold,20,SUI,166,1.0
312,Ivan Gakhov,28,RUS,166,1.0
313,Christoph Negritu,30,GER,164,7.0
314,Alexey Vatutin,32,RUS,164,2.0
315,Oleg Prihodko,27,UKR,163,
316,Patrick Zahraj,25,GER,163,3.0
317,Daniel Dutra da Silva,36,BRA,162,1.0
318,Maxime Cressy,27,USA,161,5.0
319,Rudolf Molleker,24,GER,161,-43.0
320,Ergi Kırkın,26,TUR,160,-20.0
321,Christian Langmo,28,USA,159,12.0
322,Corentin Denolly,27,FRA,159,8.0
323,Benjamin Lock,32,ZIM,158,-2.0
324,Eliakim Coulibaly,22,CIV,157,2.0
325,Gastão Elias,34,POR,157,-1.0
326,Kimmer Coppejans,31,BEL,156,1.0
327,Andrej Martin,35,SVK,156,1.0
328,Bernabé Zapata Miralles,28,ESP,156,-17.0
329,Maxime Chazal,31,FRA,156,
330,Alex Martí Pujolras,26,ESP,156,7.0
331,Giulio Zeppieri,23,ITA,155,63.0
332,Masamichi Imamura,26,JPN,154,-1.0
333,Jakub Paul,25,SUI,152,10.0
334,Mats Rosenkranz,26,GER,151,2.0
335,Samuel Vincent Ruggeri,22,ITA,151,-13.0
336,Luka Pavlovic,24,FRA,150,10.0
337,Daniel Mérida,20,ESP,150,2.0
338,Diego Schwartzman,32,ARG,149,4.0
339,Daniel Michalski,25,POL,148,-5.0
340,Genaro Alberto Olivieri,26,ARG,148,-15.0
341,Dino Prižmić,19,CRO,147,3.0
342,Gianluca Mager,30,ITA,146,-28.0
343,Nikolás Sánchez Izquierdo,25,ESP,146,4.0
344,Philip Sekulic,21,AUS,144,7.0
345,Justin Engel,17,GER,144,5.0
346,Jiří Veselý,31,CZE,144,6.0
347,Cezar Crețu,23,ROU,143,-12.0
348,Andrea Picchione,26,ITA,143,7.0
349,Jack Pinnington Jones,21,GBR,142,7.0
350,Adria Soriano Barrera,25,COL,142,-10.0
351,Dennis Novak,31,AUT,142,15.0
352,Marko Topo,21,GER,141,45.0
353,Toby Kodat,22,USA,141,8.0
354,Naoki Nakagawa,28,JPN,140,5.0
355,Clément Tabur,25,FRA,139,-14.0
356,Jelle Sels,29,NED,139,11.0
357,Pedro Sakamoto,31,BRA,139,-19.0
358,Nicholas David Ionel,22,ROU,139,25.0
359,Rei Sakamoto,18,JPN,138,6.0
360,Petr Bar Biryukov,23,RUS,138,
361,Marco Cecchinato,32,ITA,138,19.0
362,Kris Van Wyk,28,RSA,138,6.0
363,Oliver Crawford,25,GBR,137,12.0
364,Kaichi Uchida,30,JPN,137,6.0
365,Yi Zhou,19,CHN,136,8.0
366,Marc Polmans,27,AUS,136,3.0
367,Dimitar Kuzmanov,31,BUL,136,9.0
368,Hynek Bartoň,20,CZE,136,-4.0
369,Matheus Pucinelli De Almeida,23,BRA,136,-11.0
370,Soonwoo Kwon,27,KOR,135,1.0
371,Philip Henning,24,RSA,134,-26.0
372,Franco Roncadelli,25,URU,134,
373,Vitaliy Sachko,27,UKR,133,11.0
374,Luciano Emanuel Ambrogi,21,ARG,133,4.0
375,Renzo Olivo,32,ARG,129,-27.0
376,Giles Hussey,27,GBR,128,-2.0
377,Stefan Kozlov,27,USA,128,-14.0
378,Sandro Kopp,24,AUT,128,-21.0
379,Luka Mikrut,20,CRO,127,12.0
380,Andre Ilagan,24,USA,127,6.0
381,Pablo Llamas Ruiz,22,ESP,126,7.0
382,Alexey Zakharov,24,RUS,126,7.0
383,Giovanni Fonio,26,ITA,126,10.0
384,Jason Kubler,31,AUS,124,61.0
385,Ryan Peniston,29,GBR,124,21.0
386,Matthew Dellavedova,24,AUS,122,1.0
387,Gerard Campana Lee,20,KOR,121,8.0
388,Lilian Marmousez,23,FRA,120,19.0
389,Zdeněk Kolář,28,CZE,120,-7.0
390,Robert Strombachs,25,LAT,120,13.0
391,Facundo Bagnis,35,ARG,119,-89.0
392,Henry Searle,18,GBR,119,19.0
393,Ryan Nijboer,25,NED,119,7.0
394,Moerani Bouzige,25,AUS,119,7.0
395,Norbert Gombos,34,SVK,118,7.0
396,Nicola Kuhn,24,GER,118,
397,Alejo Lorenzo Lingua Lavallén,23,ARG,118,7.0
398,Michael Vrbenský,25,CZE,118,-13.0
399,Gabriele Pennaforti,24,ITA,118,34.0
400,Egor Gerasimov,32,BLR,117,-1.0
401,Ryan Seggerman,25,USA,117,4.0
402,Govind Nanda,24,USA,116,6.0
403,Anton Matusevich,23,GBR,116,6.0
404,Nerman Fatić,30,BIH,116,-6.0
405,Gabi Adrian Boitan,25,ROU,116,-26.0
406,Franco Agamenone,31,ITA,115,-14.0
407,Guido Iván Justo,27,ARG,115,6.0
408,Joris De Loore,31,BEL,114,6.0
409,João Lucas Reis Da Silva,24,BRA,114,17.0
410,Vadym Ursu,28,UKR,114,2.0
411,Alexander Weis,27,ITA,114,36.0
412,Pedro Araújo,22,POR,114,3.0
413,Yibing Wu,25,CHN,113,3.0
414,Hernán Casanova,31,ARG,113,14.0
415,Evgenii Tiurnev,27,RUS,113,2.0
416,Patrick Kypson,25,USA,113,-63.0
417,Tyler Zink,24,USA,112,3.0
418,Evgeny Karlovskiy,30,RUS,112,-28.0
419,Borna Gojo,27,CRO,111,4.0
420,Alastair Gray,26,GBR,111,4.0
421,Micah Braswell,23,USA,111,4.0
422,Kasidit Samrej,24,THA,111,-4.0
423,Gabriele Piraino,21,ITA,111,-1.0
424,Gonzalo Villanueva,30,ARG,111,14.0
425,Max Alcalá Gurri,22,ESP,110,-6.0
426,Neil Oberleitner,25,AUT,110,1.0
427,Raúl Brancaccio,27,ITA,109,30.0
428,David Jordá Sanchis,30,ESP,108,1.0
429,Miguel Damas,25,ESP,108,1.0
430,Garrett Johns,24,USA,108,4.0
431,Lucas Poullain,29,FRA,108,4.0
432,Hiroki Moriya,34,JPN,108,-22.0
433,Miloš Karol,22,SVK,107,-1.0
434,Daniel Masur,30,GER,106,-102.0
435,Tommaso Compagnucci,25,ITA,106,-4.0
436,Lukáš Pokorný,23,SVK,105,
437,Jakub Nicod,20,CZE,102,-60.0
438,Patrick Maloney,25,USA,102,4.0
439,Mukund Sasikumar,28,IND,102,5.0
440,Stefan Popović,21,SRB,102,-1.0
441,Arthur Fery,22,GBR,101,
442,Tom Paris,22,FRA,101,13.0
443,Saba Purtseladze,23,GEO,101,-22.0
444,Milos Raonic,34,CAN,100,-63.0
445,Petr Nesterov,21,BUL,98,-8.0
446,Ramkumar Ramanathan,30,IND,97,2.0
447,Daniil Glinka,24,EST,97,-4.0
448,Gianluca Cadenasso,20,ITA,97,2.0
449,Ernesto Escobedo,28,MEX,97,2.0
450,Lucas Gerch,30,GER,96,-4.0
451,Michiel De Krom,26,NED,96,2.0
452,Kokoro Isomura,22,JPN,96,2.0
453,Jules Marie,33,FRA,95,3.0
454,Pedro Boscardin Dias,22,BRA,95,19.0
455,Bor Artnak,20,SLO,94,3.0
456,Tiago Pereira,20,POR,94,49.0
457,Alessandro Pecci,23,ITA,93,3.0
458,Tom Gentzsch,21,GER,93,23.0
459,Stefanos Sakellaridis,20,GRE,93,-7.0
460,Laurent Lokoli,30,FRA,92,1.0
461,Tomás Farjat,24,ARG,91,4.0
462,Ajeet Rai,26,NZL,90,6.0
463,Martin Damm,21,USA,89,35.0
464,Peter Bertran,29,DOM,89,
465,Lorenzo Joaquín Rodríguez,25,ARG,88,-3.0
466,Aleksandre Bakshi,27,GEO,88,3.0
467,Orlando Luz,27,BRA,87,-18.0
468,Jake Delaney,27,AUS,87,4.0
469,Aidan McHugh,24,GBR,86,-3.0
470,Dan Alexandru Tomescu,25,ROU,86,-11.0
471,Federico Iannaccone,25,ITA,86,-1.0
472,Svyatoslav Gulin,22,RUS,86,-5.0
473,Maximilian Neuchrist,33,AUT,85,4.0
474,Marvin Möller,26,GER,85,5.0
475,Denis Kudla,32,USA,85,-113.0
476,Roberto Cid Subervi,31,DOM,85,-2.0
477,Blake Mott,28,AUS,85,-2.0
478,Egor Agafonov,22,RUS,85,-2.0
479,Alexandr Binda,23,ITA,85,10.0
480,Valerio Aboian,22,ARG,85,-40.0
481,Stefan Dostanic,23,USA,84,2.0
482,Facundo Juárez,27,ITA,84,10.0
483,Juan Carlos Aguilar,26,CAN,84,1.0
484,Pawel Juszczak,31,POL,84,2.0
485,Karan Singh,21,IND,84,3.0
486,George Loffhagen,23,GBR,83,-8.0
487,Mariano Kestelboim,29,ARG,83,3.0
488,Leo Borg,21,SWE,83,11.0
489,Alvin Nicholas Tudorica,23,CAN,83,26.0
490,Carlos Lopez Montagud,24,ESP,83,11.0
491,Kyle Edmund,30,GBR,82,-11.0
492,Andres Martin,23,USA,82,2.0
493,Moez Echargui,32,TUN,82,2.0
494,Duarte Vale,26,POR,82,-12.0
495,Altuğ Çelikbilek,28,TUR,81,-24.0
496,Michael Agwi,21,IRL,81,-33.0
497,Florent Bax,25,FRA,81,-6.0
498,Jonáš Forejtek,23,CZE,80,-5.0
499,Federico Cina,17,ITA,80,58.0
500,Dan Added,25,FRA,80,2.0
501,Max Wiskandt,23,GER,80,-4.0
502,Lucas Bouquet,27,FRA,79,2.0
503,Yurii Dzhavakian,31,UKR,79,3.0
504,Andrew Paulson,23,CZE,78,3.0
505,Iñaki Montes De La Torre,22,ESP,78,26.0
506,Alafia Ayeni,25,USA,78,-10.0
507,Bruno Kuzuhara,20,USA,78,1.0
508,Eric Vanshelboim,23,UKR,78,1.0
509,Florian Broska,27,GER,77,13.0
510,Mohamed Safwat,34,EGY,76,-25.0
511,José Pereira,34,BRA,76,1.0
512,Kiranpal Pannu,28,NZL,76,-25.0
513,Tibo Colson,24,BEL,76,4.0
514,Peter Fajta,22,HUN,76,
515,Mirza Bašić,33,BIH,75,28.0
516,Martin Krumich,22,CZE,75,-5.0
517,Andrea Guerrieri,26,ITA,74,3.0
518,Yusuke Takahashi,27,JPN,74,3.0
519,Mathias Bourgue,31,FRA,74,5.0
520,Federico Bondioli,19,ITA,74,5.0
521,Riccardo Bonadio,31,ITA,72,-2.0
522,Felix Corwin,28,USA,72,1.0
523,Stefan Palosi,25,ROU,72,-10.0
524,Marcello Serafini,22,ITA,72,11.0
525,Kirill Kivattsev,27,RUS,72,-7.0
526,Alberto Barroso Campos,28,ESP,72,3.0
527,Bogdan Bobrov,27,RUS,72,1.0
528,João Eduardo Schiessl,20,BRA,72,-1.0
529,Rigele Te,27,CHN,71,68.0
530,Omni Kumar,23,USA,71,-27.0
531,Stuart Parker,27,GBR,71,31.0
532,Dominik Kellovský,28,CZE,71,-6.0
533,Oleksii Krutykh,24,UKR,71,4.0
534,Alfredo Perez,27,USA,70,-4.0
535,Emile Hudd,24,GBR,70,-2.0
536,Iliyan Radulov,19,BUL,70,-4.0
537,Cannon Kingsley,23,USA,69,-3.0
538,Viacheslav Bielinskyi,21,UKR,69,17.0
539,Takuya Kumasaka,26,JPN,68,
540,Antoine Cornut Chauvinc,24,FRA,67,1.0
541,Hikaru Shiraishi,24,JPN,67,3.0
542,Christian Sigsgaard,27,DEN,66,3.0
543,Shintaro Imai,31,JPN,66,7.0
544,Arthur Reymond,25,FRA,66,3.0
545,Keegan Smith,26,USA,66,-9.0
546,Woobin Shin,21,KOR,66,21.0
547,João Domingues,31,POR,65,2.0
548,Hazem Naw,25,SYR,65,3.0
549,Arthur Weber,32,FRA,65,4.0
550,Andrej Nedic,20,BIH,65,4.0
551,Diego Dedura Palomero,16,GER,65,5.0
552,Sebastian Fanselow,33,GER,65,6.0
553,Stijn Slump,26,NED,65,-43.0
554,Sergey Fomin,24,UZB,65,10.0
555,Illya Marchenko,37,UKR,64,-9.0
556,Harrison Adams,30,USA,64,-8.0
557,Julio César Porras,27,ARG,64,3.0
558,Giovanni Oradini,27,ITA,64,5.0
559,Fabrizio Andaloro,24,ITA,64,7.0
560,Alex Martinez,23,ESP,63,20.0
561,Alex Rybakov,28,USA,63,-9.0
562,Alexis Gautier,27,FRA,63,3.0
563,Alex Barrena,22,ARG,62,10.0
564,Aryan Shah,19,IND,62,5.0
565,Benoît Paire,35,FRA,62,-49.0
566,Eero Vasa,28,FIN,62,4.0
567,Niels Visker,23,NED,62,-8.0
568,Yishai Oliel,25,ISR,61,7.0
569,Ryotaro Taguchi,24,JPN,61,5.0
570,Juan Manuel La Serna,21,ARG,61,6.0
571,Olaf Pieczkowski,20,POL,61,6.0
572,Mario Gonzalez Fernandez,22,ESP,61,7.0
573,Juan Estevez,19,ARG,61,12.0
574,Luca Potenza,24,ITA,60,-32.0
575,Cem İlkel,29,TUR,60,28.0
576,Alec Beckley,23,RSA,60,5.0
577,Jacob Bradshaw,22,AUS,60,-37.0
578,Kilian Feldbausch,19,SUI,59,15.0
579,Samir Banerjee,21,USA,59,4.0
580,Gianmarco Ferrari,24,ITA,59,4.0
581,Yanaki Milev,20,BUL,59,-81.0
582,Leonardo Aboian,26,ARG,59,-4.0
583,Antoine Ghibaudo,20,FRA,58,3.0
584,Ye Cong Mo,24,CHN,58,14.0
585,Keisuke Saitoh,23,JPN,58,2.0
