Rank,Player,Age,Nationality,Pts
280,Rudolf Molleker,24,GER,191
281,Stefano Travaglia,33,ITA,190
282,Aidan Mayo,21,USA,188
283,Mateus Alves,24,BRA,187
284,Johannus Monday,23,GBR,186
285,Ilia Simakin,21,RUS,185
286,Maxime Janvier,28,FRA,184
287,Manuel Guinard,29,FRA,184
288,Remy Bertola,26,SUI,184
289,Dominic Stricker,22,SUI,183
290,Arthur Géa,20,FRA,183
291,Jie Cui,27,CHN,181
292,Facundo Bagnis,34,ARG,180
293,Leandro Riedi,23,SUI,180
294,Juan Carlos Prado Angelo,19,BOL,180
295,Daniel Masur,30,GER,179
296,Enrico Dalla Valle,26,ITA,178
297,Mili Poljičak,20,CRO,177
298,Martin Kližan,35,SVK,176
299,Ričardas Berankis,34,LTU,175
300,Ergi Kırkın,26,TUR,175
301,Michael Geerts,30,BEL,174
302,Max Houkes,24,NED,173
303,Mathys Erhard,23,FRA,173
304,Blake Ellis,26,AUS,173
305,Charles Broom,26,GBR,172
306,Samuel Vincent Ruggeri,22,ITA,171
307,Oleksandr Ovcharenko,23,UKR,170
308,Santiago Taverna,25,ARG,170
309,Mika Brunold,20,SUI,169
310,Bernabé Zapata Miralles,28,ESP,166
311,Joel Schwärzler,19,AUT,166
312,Ivan Gakhov,28,RUS,166
313,Joris De Loore,31,BEL,164
314,Gianluca Mager,30,ITA,164
315,Oleg Prihodko,27,UKR,164
316,Jacopo Berrettini,26,ITA,164
317,Alexey Vatutin,32,RUS,164
318,Daniel Dutra da Silva,36,BRA,163
319,Christoph Negritu,30,GER,162
320,Nicolás Álvarez Varona,23,ESP,162
321,Daniel Mérida,20,ESP,162
322,Corentin Denolly,27,FRA,162
323,Benjamin Lock,31,ZIM,161
324,Philip Henning,24,RSA,160
325,Philip Sekulic,21,AUS,160
326,Maxime Cressy,27,USA,159
327,Maxime Chazal,31,FRA,158
328,Genaro Alberto Olivieri,26,ARG,158
329,Sandro Kopp,24,AUT,157
330,Cezar Crețu,23,ROU,157
331,Kimmer Coppejans,31,BEL,156
332,Masamichi Imamura,26,JPN,155
333,Jelle Sels,29,NED,154
334,Christian Langmo,28,USA,154
335,Guy Den Ouden,22,NED,153
336,Daniel Michalski,25,POL,152
337,Mats Rosenkranz,26,GER,151
338,Pedro Sakamoto,31,BRA,151
339,Clément Tabur,25,FRA,150
340,Jakub Paul,25,SUI,150
341,Diego Schwartzman,32,ARG,149
342,Eliakim Coulibaly,22,CIV,149
343,Alex Martí Pujolras,26,ESP,149
344,Nikolás Sánchez Izquierdo,25,ESP,146
345,Yosuke Watanuki,26,JPN,144
346,Justin Engel,17,GER,144
347,Jiří Veselý,31,CZE,144
348,Adria Soriano Barrera,25,COL,144
349,Patrick Kypson,25,USA,143
350,Lautaro Midon,20,ARG,143
351,Andrea Picchione,26,ITA,143
352,Toby Kodat,22,USA,143
353,Jack Pinnington Jones,21,GBR,142
354,Rodrigo Pacheco Mendez,19,MEX,142
355,Naoki Nakagawa,28,JPN,141
356,Matheus Pucinelli De Almeida,23,BRA,141
357,Denis Kudla,32,USA,140
358,Stefan Kozlov,27,USA,140
359,Giulio Zeppieri,23,ITA,138
360,Dimitar Kuzmanov,31,BUL,138
361,Kris Van Wyk,28,RSA,138
362,Luka Pavlovic,24,FRA,137
363,Renzo Olivo,32,ARG,137
364,Marc Polmans,27,AUS,136
365,Kaichi Uchida,30,JPN,136
366,Gastão Elias,34,POR,136
367,Nicholas David Ionel,22,ROU,136
368,Soonwoo Kwon,27,KOR,135
369,Dennis Novak,31,AUT,135
370,Rei Sakamoto,18,JPN,134
371,Giles Hussey,27,GBR,134
372,Franco Roncadelli,25,URU,134
373,Yi Zhou,19,CHN,133
374,Gabi Adrian Boitan,25,ROU,133
375,Jakub Nicod,20,CZE,132
376,Luciano Emanuel Ambrogi,21,ARG,131
377,Milos Raonic,34,CAN,130
378,Michael Vrbenský,25,CZE,129
379,Alexey Zakharov,24,RUS,128
380,Andre Ilagan,24,USA,128
381,Matthew Dellavedova,24,AUS,127
382,Pablo Llamas Ruiz,22,ESP,126
383,Zdeněk Kolář,28,CZE,126
384,Evgeny Karlovskiy,30,RUS,126
385,Luka Mikrut,20,CRO,126
386,Vitaliy Sachko,27,UKR,125
387,Oliver Crawford,25,GBR,125
388,Franco Agamenone,31,ITA,124
389,Gerard Campana Lee,20,KOR,123
390,Egor Gerasimov,32,BLR,121
391,Nicola Kuhn,24,GER,121
392,Dino Prižmić,19,CRO,121
393,Petr Bar Biryukov,22,RUS,121
394,Giovanni Fonio,26,ITA,121
395,Alejo Lorenzo Lingua Lavallén,23,ARG,120
396,Lilian Marmousez,23,FRA,120
397,Marko Topo,21,GER,120
398,Ryan Nijboer,25,NED,119
399,Moerani Bouzige,25,AUS,119
400,Norbert Gombos,34,SVK,118
401,Hynek Bartoň,20,CZE,118
402,Robert Strombachs,25,LAT,118
403,Patrick Zahraj,25,GER,118
404,Ryan Seggerman,25,USA,117
405,Anton Matusevich,23,GBR,116
406,Hiroki Moriya,34,JPN,116
407,Henry Searle,18,GBR,115
408,Vadym Ursu,28,UKR,115
409,Guido Iván Justo,27,ARG,115
410,Pedro Araújo,22,POR,114
411,Yibing Wu,25,CHN,113
412,Evgenii Tiurnev,27,RUS,113
413,Max Alcalá Gurri,22,ESP,113
414,Tyler Zink,24,USA,112
415,Saba Purtseladze,23,GEO,112
416,Gabriele Piraino,21,ITA,112
417,Borna Gojo,26,CRO,111
418,Alastair Gray,26,GBR,111
419,Micah Braswell,23,USA,111
420,Gabriele Pennaforti,24,ITA,111
421,David Jordá Sanchis,30,ESP,110
422,João Lucas Reis Da Silva,24,BRA,110
423,Govind Nanda,24,USA,109
424,Kasidit Samrej,24,THA,109
425,Marco Cecchinato,32,ITA,109
426,Miloš Karol,22,SVK,109
427,Andrej Martin,35,SVK,108
428,Miguel Damas,25,ESP,108
429,Lucas Poullain,29,FRA,108
430,Nicolai Budkov Kjaer,18,NOR,107
431,Garrett Johns,24,USA,107
432,Hernán Casanova,31,ARG,106
433,Tommaso Compagnucci,25,ITA,106
434,Lukáš Pokorný,22,SVK,106
435,Nerman Fatić,30,BIH,105
436,Petr Nesterov,21,BUL,105
437,Gonzalo Villanueva,30,ARG,105
438,Raúl Brancaccio,27,ITA,104
439,Stefan Popović,21,SRB,103
440,Neil Oberleitner,25,AUT,102
441,Valerio Aboian,22,ARG,102
442,Ryan Peniston,29,GBR,101
443,Lucas Gerch,30,GER,101
444,Jules Marie,33,FRA,101
445,Patrick Maloney,25,USA,99
446,Ramkumar Ramanathan,30,IND,97
447,Ernesto Escobedo,28,MEX,97
448,Mukund Sasikumar,28,IND,97
449,Gianluca Cadenasso,20,ITA,96
450,Michiel De Krom,26,NED,96
451,Bor Artnak,20,SLO,94
452,Roberto Cid Subervi,31,DOM,94
453,Kokoro Isomura,22,JPN,94
454,Alexander Weis,27,ITA,94
455,Tom Paris,22,FRA,93
456,Arthur Fery,22,GBR,93
457,Laurent Lokoli,30,FRA,93
458,Dan Alexandru Tomescu,25,ROU,93
459,Daniil Glinka,24,EST,92
460,Alessandro Pecci,23,ITA,91
461,Lorenzo Joaquín Rodríguez,25,ARG,91
462,Michael Agwi,21,IRL,90
463,Orlando Luz,27,BRA,90
464,Carlos Lopez Montagud,24,ESP,90
465,Peter Bertran,28,DOM,89
466,Pedro Boscardin Dias,22,BRA,89
467,Tomás Farjat,24,ARG,88
468,Aidan McHugh,24,GBR,88
469,Svyatoslav Gulin,22,RUS,88
470,Federico Iannaccone,25,ITA,88
471,Altuğ Çelikbilek,28,TUR,87
472,Tom Gentzsch,21,GER,87
473,Jake Delaney,27,AUS,87
474,Jonáš Forejtek,23,CZE,86
475,Duarte Vale,26,POR,86
476,Blake Mott,28,AUS,86
477,Egor Agafonov,22,RUS,86
478,George Loffhagen,23,GBR,85
479,Kyle Edmund,30,GBR,85
480,Moez Echargui,32,TUN,85
481,Aleksandre Bakshi,27,GEO,85
482,Ajeet Rai,26,NZL,85
483,Lucas Bouquet,27,FRA,85
484,Juan Carlos Aguilar,26,CAN,84
485,Mohamed Safwat,34,EGY,84
486,Pawel Juszczak,30,POL,84
487,Kiranpal Pannu,28,NZL,84
488,Stefanos Sakellaridis,20,GRE,84
489,Alafia Ayeni,25,USA,83
490,Florent Bax,25,FRA,83
491,Stefan Dostanic,23,USA,82
492,Mariano Kestelboim,29,ARG,82
493,Max Wiskandt,23,GER,82
494,Leo Borg,21,SWE,81
495,Yanaki Milev,20,BUL,81
496,Facundo Juárez,27,ITA,80
497,Tibo Colson,24,BEL,80
498,Yurii Dzhavakian,31,UKR,80
499,Omni Kumar,23,USA,79
