Rank,Player Name,Age,Country,Points,Change
329,Andrej Martin,35,SVK,156,99.0
330,Maxime Chazal,31,FRA,156,-1.0
331,Corentin Denolly,27,FRA,156,-7.0
332,Masamichi Imamura,26,JPN,155,2.0
333,Daniel Masur,30,GER,154,-38.0
334,Christian Langmo,28,USA,154,2.0
335,Daniel Michalski,25,POL,153,4.0
336,Cezar Crețu,23,ROU,152,-4.0
337,Mats Rosenkranz,26,GER,151,3.0
338,Alex Martí Pujolras,26,ESP,151,7.0
339,Pedro Sakamoto,31,BRA,151,2.0
340,Daniel Mérida,20,ESP,150,-17.0
341,Adria Soriano Barrera,25,COL,150,9.0
342,Clément Tabur,25,FRA,150,
343,Diego Schwartzman,32,ARG,149,1.0
344,Jakub Paul,25,SUI,149,-1.0
345,Dino Prižmić,19,CRO,147,49.0
346,Philip Henning,24,RSA,147,-20.0
347,Luka Pavlovic,24,FRA,147,17.0
348,Nikolás Sánchez Izquierdo,25,ESP,146,-2.0
349,Renzo Olivo,32,ARG,145,16.0
350,Yosuke Watanuki,26,JPN,144,-3.0
351,Justin Engel,17,GER,144,-3.0
352,Philip Sekulic,21,AUS,144,-25.0
353,Jiří Veselý,31,CZE,144,-4.0
354,Patrick Kypson,25,USA,143,-3.0
355,Lautaro Midon,20,ARG,143,-3.0
356,Andrea Picchione,26,ITA,143,-3.0
357,Jack Pinnington Jones,21,GBR,142,-2.0
358,Sandro Kopp,24,AUT,142,-27.0
359,Matheus Pucinelli De Almeida,23,BRA,142,-1.0
360,Naoki Nakagawa,28,JPN,141,-3.0
361,Petr Bar Biryukov,23,RUS,141,34.0
362,Toby Kodat,22,USA,141,-8.0
363,Denis Kudla,32,USA,140,-4.0
364,Stefan Kozlov,27,USA,139,-4.0
365,Hynek Bartoň,20,CZE,139,38.0
366,Rei Sakamoto,18,JPN,138,6.0
367,Dennis Novak,31,AUT,138,4.0
368,Jelle Sels,29,NED,138,-33.0
369,Kris Van Wyk,28,RSA,138,-6.0
370,Marc Polmans,27,AUS,136,-4.0
371,Kaichi Uchida,30,JPN,136,-4.0
372,Soonwoo Kwon,27,KOR,135,-2.0
373,Franco Roncadelli,25,URU,134,1.0
374,Yi Zhou,19,CHN,133,1.0
375,Giles Hussey,27,GBR,133,-2.0
376,Oliver Crawford,25,GBR,133,13.0
377,Dimitar Kuzmanov,31,BUL,132,-15.0
378,Jakub Nicod,20,CZE,132,-1.0
379,Luciano Emanuel Ambrogi,21,ARG,132,-1.0
380,Gabi Adrian Boitan,25,ROU,132,-4.0
381,Marco Cecchinato,32,ITA,131,45.0
382,Milos Raonic,34,CAN,130,-3.0
383,Zdeněk Kolář,28,CZE,130,2.0
384,Nicholas David Ionel,22,ROU,130,-15.0
385,Vitaliy Sachko,27,UKR,129,3.0
386,Michael Vrbenský,25,CZE,128,-6.0
387,Andre Ilagan,24,USA,128,-5.0
388,Matthew Dellavedova,24,AUS,127,-5.0
389,Pablo Llamas Ruiz,22,ESP,126,-5.0
390,Alexey Zakharov,24,RUS,126,-9.0
391,Evgeny Karlovskiy,30,RUS,126,-5.0
392,Luka Mikrut,20,CRO,126,-5.0
393,Franco Agamenone,31,ITA,126,-3.0
394,Giovanni Fonio,26,ITA,126,2.0
395,Giulio Zeppieri,23,ITA,125,-34.0
396,Gerard Campana Lee,20,KOR,123,-5.0
397,Nicola Kuhn,24,GER,122,-4.0
398,Marko Topo,21,GER,120,1.0
399,Nerman Fatić,30,BIH,120,36.0
400,Egor Gerasimov,32,BLR,119,-8.0
401,Ryan Nijboer,25,NED,119,-1.0
402,Moerani Bouzige,25,AUS,119,-1.0
403,Norbert Gombos,34,SVK,118,-1.0
404,Robert Strombachs,25,LAT,118,
405,Alejo Lorenzo Lingua Lavallén,23,ARG,117,-8.0
406,Ryan Seggerman,25,USA,117,-1.0
407,Ryan Peniston,29,GBR,117,36.0
408,Lilian Marmousez,23,FRA,117,-10.0
409,Govind Nanda,24,USA,116,15.0
410,Anton Matusevich,23,GBR,116,-4.0
411,Hiroki Moriya,34,JPN,116,-4.0
412,Henry Searle,18,GBR,115,-4.0
413,Vadym Ursu,28,UKR,115,-4.0
414,Guido Iván Justo,27,ARG,115,-4.0
415,Joris De Loore,31,BEL,114,-100.0
416,Pedro Araújo,22,POR,114,-5.0
417,Yibing Wu,25,CHN,113,-5.0
418,Evgenii Tiurnev,27,RUS,113,-5.0
419,Kasidit Samrej,24,THA,113,6.0
420,Max Alcalá Gurri,22,ESP,113,-6.0
421,Tyler Zink,24,USA,112,-6.0
422,Saba Purtseladze,23,GEO,112,-6.0
423,Gabriele Piraino,21,ITA,112,-6.0
424,Borna Gojo,27,CRO,111,-6.0
425,Alastair Gray,26,GBR,111,-6.0
426,Micah Braswell,23,USA,111,-6.0
427,João Lucas Reis Da Silva,24,BRA,110,-4.0
428,Neil Oberleitner,25,AUT,110,12.0
429,Hernán Casanova,31,ARG,109,3.0
430,David Jordá Sanchis,30,ESP,108,-8.0
431,Miguel Damas,25,ESP,108,-2.0
432,Tommaso Compagnucci,25,ITA,108,1.0
433,Miloš Karol,22,SVK,108,-6.0
434,Gabriele Pennaforti,24,ITA,108,-13.0
435,Garrett Johns,24,USA,107,-4.0
436,Lucas Poullain,29,FRA,107,-6.0
437,Lukáš Pokorný,23,SVK,106,-3.0
438,Petr Nesterov,21,BUL,105,-2.0
439,Gonzalo Villanueva,30,ARG,105,-2.0
440,Stefan Popović,21,SRB,103,-1.0
441,Valerio Aboian,22,ARG,102,
442,Arthur Fery,22,GBR,101,
443,Patrick Maloney,25,USA,101,3.0
444,Daniil Glinka,24,EST,100,15.0
445,Mukund Sasikumar,28,IND,100,4.0
446,Jason Kubler,31,AUS,99,70.0
447,Lucas Gerch,30,GER,98,-3.0
448,Alexander Weis,27,ITA,98,7.0
449,Ramkumar Ramanathan,30,IND,97,-2.0
450,Orlando Luz,27,BRA,97,13.0
451,Gianluca Cadenasso,20,ITA,97,-1.0
452,Ernesto Escobedo,28,MEX,97,-4.0
453,Stefanos Sakellaridis,20,GRE,97,35.0
454,Michiel De Krom,26,NED,96,-3.0
455,Kokoro Isomura,22,JPN,96,-1.0
456,Tom Paris,22,FRA,95,
457,Jules Marie,33,FRA,95,-12.0
458,Raúl Brancaccio,27,ITA,94,-20.0
459,Bor Artnak,20,SLO,94,-7.0
460,Dan Alexandru Tomescu,25,ROU,93,-2.0
461,Alessandro Pecci,23,ITA,92,-1.0
462,Laurent Lokoli,30,FRA,91,-5.0
463,Lorenzo Joaquín Rodríguez,25,ARG,91,-2.0
464,Michael Agwi,21,IRL,90,-2.0
465,Peter Bertran,28,DOM,89,
466,Tomás Farjat,24,ARG,88,1.0
467,Aidan McHugh,24,GBR,88,1.0
468,Svyatoslav Gulin,22,RUS,88,1.0
469,Ajeet Rai,26,NZL,88,13.0
470,Aleksandre Bakshi,27,GEO,88,11.0
471,Federico Iannaccone,25,ITA,88,-1.0
472,Altuğ Çelikbilek,28,TUR,87,-1.0
473,Jake Delaney,27,AUS,87,
474,Pedro Boscardin Dias,22,BRA,87,-8.0
475,Roberto Cid Subervi,31,DOM,86,-22.0
476,Blake Mott,28,AUS,86,
477,Egor Agafonov,22,RUS,86,
478,Maximilian Neuchrist,33,AUT,85,84.0
479,George Loffhagen,23,GBR,85,-1.0
480,Marvin Möller,26,GER,85,27.0
481,Kyle Edmund,30,GBR,85,-2.0
482,Tom Gentzsch,21,GER,85,-10.0
483,Duarte Vale,26,POR,85,-8.0
484,Stefan Dostanic,23,USA,84,7.0
485,Juan Carlos Aguilar,26,CAN,84,-1.0
486,Mohamed Safwat,34,EGY,84,-1.0
487,Pawel Juszczak,31,POL,84,-1.0
488,Kiranpal Pannu,28,NZL,84,-1.0
489,Karan Singh,21,IND,84,13.0
490,Alexandr Binda,23,ITA,84,19.0
491,Mariano Kestelboim,29,ARG,83,1.0
492,Florent Bax,25,FRA,83,-2.0
493,Facundo Juárez,27,ITA,82,3.0
494,Jonáš Forejtek,23,CZE,82,-20.0
495,Andres Martin,23,USA,82,34.0
496,Moez Echargui,32,TUN,82,-16.0
497,Alafia Ayeni,25,USA,82,-8.0
498,Max Wiskandt,23,GER,82,-5.0
499,Martin Damm,21,USA,81,6.0
500,Leo Borg,21,SWE,81,-6.0
501,Yanaki Milev,20,BUL,81,-6.0
502,Carlos Lopez Montagud,24,ESP,80,-38.0
503,Dan Added,25,FRA,80,18.0
504,Omni Kumar,23,USA,79,-5.0
505,Lucas Bouquet,27,FRA,79,-22.0
506,Tiago Pereira,20,POR,79,-2.0
507,Yurii Dzhavakian,31,UKR,79,-9.0
508,Andrew Paulson,23,CZE,78,-2.0
509,Bruno Kuzuhara,20,USA,78,-8.0
510,Eric Vanshelboim,23,UKR,78,-7.0
511,Stijn Slump,26,NED,77,12.0
512,Martin Krumich,22,CZE,77,-4.0
513,José Pereira,34,BRA,76,9.0
514,Stefan Palosi,25,ROU,76,-3.0
515,Peter Fajta,22,HUN,76,-3.0
516,Alvin Nicholas Tudorica,23,CAN,75,-3.0
517,Benoît Paire,35,FRA,75,-3.0
518,Tibo Colson,24,BEL,75,-21.0
519,Kirill Kivattsev,27,RUS,75,1.0
520,Riccardo Bonadio,31,ITA,74,-3.0
521,Andrea Guerrieri,26,ITA,74,-3.0
