rank,Player,Age,Nationality,Flag,Pts
310,Bernabé Zapata Miralles,28,ESP,ES,166
320,Nicolás Álvarez Varona,23,ESP,ES,162
321,Daniel Mérida,20,ESP,ES,162
343,Alex Martí Pujolras,26,ESP,ES,149
344,Nikolás Sánchez Izquierdo,25,ESP,ES,146
382,Pablo Llamas Ruiz,22,ESP,ES,126
413,Max Alcalá Gurri,22,ESP,ES,113
421,David Jordá Sanchis,30,ESP,ES,110
428,Miguel Damas,25,ESP,ES,108
464,Carlos Lopez Montagud,24,ESP,ES,90
532,Iñaki Montes De La Torre,22,ESP,ES,70
544,Alberto Barroso Campos,28,ESP,ES,67
572,Alejo Sanchez Quilez,19,ESP,ES,62
578,Mario Gonzalez Fernandez,22,ESP,ES,61
579,Alex Martinez,23,ESP,ES,60
601,Diego Augusto Barreto Sánchez,22,ESP,ES,56
665,Alejandro Manzanera Pertusa,21,ESP,ES,44
674,Imanol López Morillo,25,ESP,ES,43
685,Pedro Vives Marcos,23,ESP,ES,41
696,John Echeverria,23,ESP,ES,40
710,Albert Pedrico Kravtsov,19,ESP,ES,38
717,Sergi Perez Contri,27,ESP,ES,37
719,Carlos Gimeno Valero,23,ESP,ES,36
759,Ivan Marrero Curbelo,26,ESP,ES,32
823,Benjamin Winter Lopez,26,ESP,ES,25
898,Sergio Callejon Hernando,20,ESP,ES,20
902,Rafael Jodar,18,ESP,ES,19
914,Tomas Curras Abasolo,24,ESP,ES,19
202,Mark Lajal,21,EST,,282
459,Daniil Glinka,24,EST,,92
897,Kristjan Tamm,26,EST,,20
109,Otto Virtanen,23,FIN,,527
225,Emil Ruusuvuori,25,FIN,,244
571,Eero Vasa,28,FIN,,62
971,Patrick Kaukovalta,26,FIN,,16
14,Ugo Humbert,26,FRA,FR,2825
19,Arthur Fils,20,FRA,FR,2355
29,Giovanni Mpetshi Perricard,21,FRA,FR,1580
39,Gaël Monfils,38,FRA,FR,1280
58,Alexandre Müller,28,FRA,FR,990
61,Arthur Rinderknech,29,FRA,FR,911
62,Benjamin Bonzi,28,FRA,FR,910
65,Corentin Moutet,25,FRA,FR,872
75,Quentin Halys,28,FRA,FR,751
91,Hugo Gaston,24,FRA,FR,636
96,Lucas Pouille,30,FRA,FR,616
100,Arthur Cazaux,22,FRA,FR,582
127,Adrian Mannarino,36,FRA,FR,461
132,Harold Mayot,23,FRA,FR,448
145,Richard Gasquet,38,FRA,FR,404
150,Grégoire Barrère,31,FRA,FR,381
151,Kyrian Jacquet,23,FRA,FR,376
153,Luca Van Assche,20,FRA,FR,372
157,Terence Atmane,23,FRA,FR,361
158,Ugo Blanchet,26,FRA,FR,360
162,Pierre Hugues Herbert,33,FRA,FR,345
168,Constant Lestienne,32,FRA,FR,336
178,Calvin Hémery,30,FRA,FR,319
182,Valentin Royer,23,FRA,FR,315
190,Titouan Droguet,23,FRA,FR,310
196,Hugo Grenier,28,FRA,FR,306
214,Antoine Escoffier,32,FRA,FR,265
232,Gabriel Debru,19,FRA,FR,235
236,Arthur Bouquier,24,FRA,FR,232
239,Clément Chidekh,23,FRA,FR,231
242,Enzo Couacaud,29,FRA,FR,229
244,Sascha Gueymard Wayenburg,21,FRA,FR,224
261,Geoffrey Blancaneaux,26,FRA,FR,206
263,Mattéo Martineau,26,FRA,FR,205
268,Robin Bertrand,21,FRA,FR,201
286,Maxime Janvier,28,FRA,FR,184
287,Manuel Guinard,29,FRA,FR,184
290,Arthur Géa,20,FRA,FR,183
303,Mathys Erhard,23,FRA,FR,173
322,Corentin Denolly,27,FRA,FR,162
327,Maxime Chazal,31,FRA,FR,158
339,Clément Tabur,25,FRA,FR,150
362,Luka Pavlovic,24,FRA,FR,137
396,Lilian Marmousez,23,FRA,FR,120
429,Lucas Poullain,29,FRA,FR,108
444,Jules Marie,33,FRA,FR,101
455,Tom Paris,22,FRA,FR,93
457,Laurent Lokoli,30,FRA,FR,93
483,Lucas Bouquet,27,FRA,FR,85
490,Florent Bax,25,FRA,FR,83
514,Benoît Paire,35,FRA,FR,75
521,Dan Added,25,FRA,FR,74
530,Mathias Bourgue,31,FRA,FR,71
540,Antoine Cornut Chauvinc,24,FRA,FR,67
548,Arthur Reymond,25,FRA,FR,66
554,Arthur Weber,32,FRA,FR,65
563,Alexis Gautier,27,FRA,FR,63
568,Antoine Ghibaudo,20,FRA,FR,62
569,Maé Malige,18,FRA,FR,62
600,Louis Dussin,25,FRA,FR,56
603,Théo Papamalamis,19,FRA,FR,55
626,Constantin Bittoun Kouzmine,26,FRA,FR,51
634,Tristan Lamasine,31,FRA,FR,49
637,Loann Massard,19,FRA,FR,49
641,Timo Legout,22,FRA,FR,47
657,Maxence Beaugé,24,FRA,FR,45
683,Kenny de Schepper,37,FRA,FR,42
705,Maxence Rivet,21,FRA,FR,39
728,Antoine Hoang,29,FRA,FR,35
737,Axel Garcian,22,FRA,FR,34
747,Etienne Donnet,24,FRA,FR,33
748,Guillaume Dalmasso,22,FRA,FR,33
772,Alexandre Reco,25,FRA,FR,31
789,Louis Tessa,26,FRA,FR,30
811,Enzo Wallart,28,FRA,FR,27
821,Evan Furness,26,FRA,FR,25
822,Yanis Ghazouani Durand,24,FRA,FR,25
824,Alexandre Aubriot,25,FRA,FR,25
837,Fabien Salle,25,FRA,FR,24
842,Maxence Bertimon,25,FRA,FR,24
850,Amaury Raynel,22,FRA,FR,23
862,Felix Balshaw,18,FRA,FR,22
865,Cyril Vandermeersch,25,FRA,FR,22
891,Pierre Delage,24,FRA,FR,20
918,Charlie Camus,18,FRA,FR,19
951,Nicolas Jadoun,22,FRA,FR,17
977,Lucas Marionneau,18,FRA,FR,15
983,Benjamin Pietri,28,FRA,FR,15
985,Robin Catry,22,FRA,FR,15
994,Luc Fomba,25,FRA,FR,15
996,Pablo Trochu,21,FRA,FR,15
999,Sean Cuenin,21,FRA,FR,14
15,Jack Draper,23,GBR,GB,2770
72,Cameron Norrie,29,GBR,GB,784
80,Jacob Fearnley,23,GBR,GB,739
110,Billy Harris,30,GBR,GB,527
175,Daniel Evans,34,GBR,GB,321
195,Jan Choinski,28,GBR,GB,307
218,Paul Jubb,25,GBR,GB,260
274,Jay Clarke,26,GBR,GB,196
284,Johannus Monday,23,GBR,GB,186
305,Charles Broom,26,GBR,GB,172
353,Jack Pinnington Jones,21,GBR,GB,142
371,Giles Hussey,27,GBR,GB,134
387,Oliver Crawford,25,GBR,GB,125
405,Anton Matusevich,23,GBR,GB,116
407,Henry Searle,18,GBR,GB,115
418,Alastair Gray,26,GBR,GB,111
442,Ryan Peniston,29,GBR,GB,101
456,Arthur Fery,22,GBR,GB,93
468,Aidan McHugh,24,GBR,GB,88
478,George Loffhagen,23,GBR,GB,85
479,Kyle Edmund,30,GBR,GB,85
545,Emile Hudd,24,GBR,GB,67
561,Stuart Parker,27,GBR,GB,64
588,Max Basing,22,GBR,GB,57
597,Felix Gill,22,GBR,GB,56
630,Harry Wendelken,23,GBR,GB,50
648,Ewen Lumsden,25,GBR,GB,46
660,Ben Jones,26,GBR,GB,45
679,Hamish Stewart,25,GBR,GB,42
702,Liam Broady,31,GBR,GB,39
708,James Story,23,GBR,GB,38
743,Oliver Tarvet,21,GBR,GB,33
831,Millen Hurrion,25,GBR,GB,24
840,Toby Martin,32,GBR,GB,24
864,Patrick Brady,20,GBR,GB,22
868,Matthew Summers,26,GBR,GB,22
953,Finn Bass,25,GBR,GB,17
148,Nikoloz Basilashvili,32,GEO,,383
415,Saba Purtseladze,23,GEO,,112
481,Aleksandre Bakshi,27,GEO,,85
731,Zura Tkemaladze,24,GEO,,35
2,Alexander Zverev,27,GER,DE,8135
44,Jan Lennard Struff,34,GER,DE,1200
74,Daniel Altmaier,26,GER,DE,768
108,Yannick Hanfmann,33,GER,DE,534
114,Dominik Koepfer,30,GER,DE,508
174,Henri Squire,24,GER,DE,324
198,Maximilian Marterer,29,GER,DE,296
203,Benjamin Hassan,30,GER,DE,281
249,Max Hans Rehberg,21,GER,DE,219
280,Rudolf Molleker,24,GER,DE,191
295,Daniel Masur,30,GER,DE,179
319,Christoph Negritu,30,GER,DE,162
337,Mats Rosenkranz,26,GER,DE,151
346,Justin Engel,17,GER,DE,144
391,Nicola Kuhn,24,GER,DE,121
397,Marko Topo,21,GER,DE,120
403,Patrick Zahraj,25,GER,DE,118
443,Lucas Gerch,30,GER,DE,101
472,Tom Gentzsch,21,GER,DE,87
493,Max Wiskandt,23,GER,DE,82
507,Marvin Möller,26,GER,DE,77
533,Florian Broska,27,GER,DE,70
558,Sebastian Fanselow,33,GER,DE,65
567,Diego Dedura Palomero,16,GER,DE,62
599,Liam Gavrielides,21,GER,DE,56
613,Louis Weßels,26,GER,DE,54
615,Tim Handel,28,GER,DE,53
624,Elmar Ejupovic,32,GER,DE,51
636,John Sperle,23,GER,DE,49
662,Adrian Oetzbach,27,GER,DE,45
663,Maik Steiner,30,GER,DE,44
692,Peter Heller,32,GER,DE,40
713,Marlon Vankan,24,GER,DE,38
777,Nino Ehrenschneider,23,GER,DE,30
786,Kai Wehnelt,29,GER,DE,30
807,Oscar Otte,31,GER,DE,27
810,Luca Wiedenmann,26,GER,DE,27
870,Lasse Poertner,19,GER,DE,22
874,Maximilian Homberg,22,GER,DE,21
894,Sebastian Prechtel,28,GER,DE,20
919,Niklas Schell,26,GER,DE,19
920,Benito Sánchez Martinez,22,GER,DE,18
980,Mariano Dedura Palomero,19,GER,DE,15
11,Stefanos Tsitsipas,26,GRE,,3005
488,Stefanos Sakellaridis,20,GRE,,84
591,Aristotelis Thanos,23,GRE,,57
812,Ioannis Xilas,23,GRE,,26
165,Coleman Wong,20,HKG,,343
54,Fábián Marozsán,25,HUN,,1035
87,Márton Fucsovics,33,HUN,,666
265,Zsombor Piros,25,HUN,,201
512,Peter Fajta,22,HUN,,76
715,Gergely Madarász,30,HUN,,37
131,Sumit Nagal,27,IND,,448
446,Ramkumar Ramanathan,30,IND,,97
448,Mukund Sasikumar,28,IND,,97
502,Karan Singh,21,IND,,79
582,Aryan Shah,19,IND,,59
610,Dev Javia,22,IND,,54
745,Siddharth Vishwakarma,30,IND,,33
773,Manas Dhamne,17,IND,,31
784,S D Prajwal Dev,28,IND,,30
853,Sidharth Rawat,31,IND,,23
861,Dhakshineswar Suresh,24,IND,,22
869,Adil Kalyanpur,25,IND,,22
929,Manish Sureshkumar,25,IND,,18
952,Chirag Duhan,21,IND,,17
997,Yuvan Nandal,19,IND,,15
462,Michael Agwi,21,IRL,,90
805,Peter Buldorini,20,IRL,,28
535,Yishai Oliel,25,ISR,,69
550,Daniel Cukierman,29,ISR,,65
654,Orel Kimhi,21,ISR,,45
895,Amit Vales,19,ISR,,20
1,Jannik Sinner,23,ITA,IT,11330
17,Lorenzo Musetti,22,ITA,IT,2650
30,Matteo Berrettini,28,ITA,IT,1520
32,Matteo Arnaldi,23,ITA,IT,1430
34,Lorenzo Sonego,29,ITA,IT,1401
